title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Within Our Gates,1920,11870.0,5948,3,6.4,3643.0,79,Drama,Romance,
Orphans of the Storm,1921,12532.0,1263,3,7.3,5488.0,150,Drama,History,Romance
"Kid, The",1921,12349.0,3945,0,8.2,135201.0,68,Comedy,Drama,Family
"Blot, The",1921,11979.0,4204,3,6.7,700.0,91,Drama,Romance,
K&ouml;rkarlen (The Phantom Carriage),1921,12364.0,5898,2,8.0,14145.0,107,Drama,Fantasy,Horror
"Nosferatu, eine Symphonie des Grauens",1922,13442.0,1307,2,7.9,105747.0,94,Fantasy,Horror,
"Phantom, The",1922,13496.0,1631,2,6.7,1960.0,125,Drama,Romance,
Nathan der Weise,1922,13428.0,1778,2,6.9,152.0,128,Drama,History,
"Man from Beyond, The",1922,13367.0,2001,1,5.3,337.0,74,Mystery,Sci-Fi,
H&auml;xan: Witchcraft Through the Ages,1922,13257.0,3800,3,7.6,16807.0,91,Documentary,Fantasy,Horror
Nanook of the North,1922,13427.0,5901,1,7.6,13486.0,78,Documentary,,
Foolish Wives,1922,13140.0,5958,3,7.0,4042.0,117,Drama,Thriller,
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,13086.0,5967,3,7.8,9199.0,242,Crime,Mystery,Thriller
Safety Last!,1923,14429.0,1961,0,8.1,22990.0,74,Action,Comedy,Thriller
Why Worry?,1923,14611.0,1967,0,7.3,2064.0,63,Adventure,Comedy,Family
"Silent Command, The",1923,14469.0,1998,2,6.0,103.0,80,Drama,,
Our Hospitality,1923,14341.0,5949,0,7.8,12512.0,65,Comedy,Romance,Thriller
A Woman of Paris,1923,14624.0,8947,2,6.9,6201.0,82,Drama,Romance,
"Thief of Bagdad, The",1924,15400.0,1264,0,7.7,6998.0,155,Adventure,Family,Fantasy
Die Nibelungen,1924,15175.0,1337,2,8.1,6575.0,100,Adventure,Drama,Fantasy
Kriemhild&#39;s Revenge,1924,15174.0,1338,2,7.9,5012.0,129,Adventure,Drama,Fantasy
Wild Oranges,1924,15498.0,1960,0,6.7,566.0,88,Drama,Romance,
"Navigator, The",1924,15163.0,2009,0,7.6,11088.0,59,Action,Adventure,Comedy
Sherlock Jr.,1924,15324.0,2011,0,8.2,57315.0,45,Action,Comedy,Romance
Girl Shy,1924,14945.0,2016,0,7.7,3673.0,87,Comedy,Romance,
Manhandled,1924,15116.0,2020,3,6.7,1147.0,75,Comedy,Drama,
"Great White Silence, The",1924,1764657.0,2413,0,7.9,1697.0,80,Documentary,,
Greed,1924,15881.0,8458,3,8.0,10790.0,140,Drama,Thriller,Western
"Phantom of the Opera, The",1925,16220.0,1305,2,7.5,20156.0,93,Horror,,
Battleship Potemkin,1925,15648.0,1308,0,7.9,61573.0,66,Drama,History,Thriller
"Gold Rush, The",1925,15864.0,1309,0,8.1,118943.0,95,Adventure,Comedy,Drama
Go West,1925,15863.0,1978,0,7.1,5022.0,69,Comedy,Western,
"Freshman, The",1925,15841.0,2012,0,7.5,6080.0,77,Comedy,Family,Romance
Seven Chances,1925,16332.0,3077,0,7.8,11763.0,56,Comedy,Romance,
"Lost World, The",1925,16039.0,5514,2,7.0,5850.0,110,Adventure,Fantasy,Horror
"Big Parade, The",1925,15624.0,5962,2,7.9,7306.0,151,Drama,Romance,War
Stachka,1925,15361.0,5991,0,7.6,8649.0,82,Drama,,
Flesh and the Devil,1926,16884.0,1260,1,7.6,4641.0,112,Drama,,
"General, The",1926,17925.0,1310,0,8.1,98417.0,78,Action,Adventure,Comedy
"Temptress, The",1926,17449.0,1334,1,6.9,1347.0,62,Drama,Romance,
For Heaven&#39;s Sake,1926,16895.0,1966,0,7.5,1973.0,58,Action,Comedy,Romance
So&#39;s Your Old Man,1926,17410.0,3217,3,6.5,243.0,67,Comedy,Romance,
Die Abenteuer des Prinzen Achmed,1926,15532.0,5974,1,7.8,6914.0,80,Adventure,Animation,Family
It,1927,18033.0,1227,3,7.2,3592.0,72,Comedy,Romance,
Metropolis,1927,17136.0,1267,1,8.3,185961.0,153,Drama,Sci-Fi,
"Unknown, The",1927,18528.0,1311,0,7.7,9200.0,68,Drama,Horror,Romance
Abel Gance&#39;s Napoleon,1927,18192.0,1312,2,8.2,8832.0,330,Biography,Drama,History
Sunrise: A Song of Two Humans,1927,18455.0,1632,2,8.1,53941.0,94,Drama,Romance,
"Kid Brother, The",1927,18051.0,1964,0,7.6,4842.0,82,Comedy,Drama,Family
Nevada,1927,18199.0,1982,0,6.2,140.0,70,Western,,
My Best Girl,1927,18183.0,2010,3,7.5,950.0,80,Comedy,Romance,
Wings,1927,18578.0,3118,1,7.5,14591.0,144,Action,Drama,Romance
"Jazz Singer, The",1927,18037.0,5975,1,6.4,11114.0,88,Drama,Music,Musical
Downhill [When Boys Leave Home],1927,17825.0,7324,1,6.0,3074.0,110,Adventure,Drama,Thriller
"Cat and the Canary, The",1927,17739.0,11142,3,7.1,3390.0,108,Comedy,Horror,Mystery
"Passion of Joan of Arc, The",1928,19254.0,1314,0,8.1,60888.0,114,Biography,Drama,History
Speedy,1928,19412.0,1963,0,7.6,4294.0,85,Action,Comedy,Family
"Circus, The",1928,18773.0,1968,0,8.1,36160.0,72,Comedy,Family,Romance
"Cameraman, The",1928,18742.0,1970,0,8.0,13225.0,76,Comedy,Drama,Family
"Steamboat Bill, Jr.",1928,19421.0,1971,0,7.8,16220.0,70,Action,Comedy,Drama
"Racket, The",1928,19304.0,1972,0,6.6,1592.0,84,Crime,Drama,Film-Noir
Beggars of Life,1928,18684.0,1977,0,7.4,1327.0,84,Adventure,Crime,Drama
"Power of the Press, The",1928,19290.0,1979,1,6.4,327.0,62,Drama,,
A Girl in Every Port,1928,18937.0,1980,0,6.6,822.0,78,Action,Adventure,Comedy
"Patsy, The",1928,19258.0,2013,3,7.5,2783.0,78,Comedy,Drama,Romance
While the City Sleeps,1928,19571.0,2017,2,6.5,264.0,66,Action,Crime,Drama
"Man Who Laughs, The",1928,19130.0,2021,2,7.6,8109.0,110,Drama,Horror,Mystery
"Crowd, The",1928,18806.0,5912,1,8.1,9201.0,98,Drama,Romance,
"Docks of New York, The",1928,18839.0,5984,2,7.5,5049.0,76,Crime,Drama,Film-Noir
Our Dancing Daughters,1928,19237.0,9314,2,6.7,1973.0,85,Drama,,
"Cocoanuts, The",1929,19777.0,1953,2,6.8,8220.0,96,Comedy,Musical,Romance
Welcome Danger,1929,20572.0,1962,0,5.9,821.0,113,Comedy,,
Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929,18737.0,2324,3,7.8,11889.0,109,Crime,Drama,Romance
Man with a Movie Camera,1929,19760.0,3897,0,8.3,28071.0,68,Documentary,,
Blackmail,1929,19702.0,5979,2,6.9,12035.0,85,Crime,Drama,Thriller
Throw of the Dice,1929,20286.0,6046,0,6.5,1012.0,74,Adventure,Drama,Romance
Juno and the Paycock [The Shame of Mary Boyle],1929,21015.0,7287,3,4.6,2542.0,85,Comedy,Drama,
Broadway Melody,1929,19729.0,8464,3,5.6,8039.0,100,Drama,Musical,Romance
"Blue Angel, The",1930,20697.0,1315,1,7.7,16329.0,104,Drama,Music,Romance
All Quiet on the Western Front,1930,20629.0,1316,0,8.1,67834.0,152,Drama,War,
Anna Christie,1930,20641.0,1326,3,6.6,3515.0,89,Drama,Romance,
Ladies of Leisure,1930,21040.0,3713,3,6.7,1395.0,99,Drama,Romance,
Morocco,1930,21156.0,3865,1,7.0,7502.0,92,Drama,Romance,
L&#39;Age d&#39;Or,1930,21577.0,3871,0,7.2,14840.0,63,Comedy,Drama,
Min and Bill,1930,21148.0,3927,3,6.7,1901.0,69,Comedy,Drama,
Be Yourself,1930,20670.0,4253,2,5.6,228.0,65,Comedy,Musical,
"Bat Whispers, The",1930,20668.0,6782,3,6.3,1151.0,83,Crime,Drama,Horror
Murder!,1930,21165.0,7291,3,6.3,6972.0,92,Crime,Mystery,Thriller
Animal Crackers,1930,20640.0,8463,3,7.4,15298.0,97,Comedy,Family,Musical
M,1931,22100.0,610,3,8.3,168913.0,99,Crime,Mystery,Thriller
M&auml;dchen in Uniform,1931,22183.0,628,3,7.6,3757.0,87,Drama,Romance,
Night Nurse,1931,22208.0,636,3,7.0,4504.0,72,Comedy,Crime,Drama
Frankenstein,1931,21884.0,1317,1,7.8,79957.0,70,Drama,Horror,Sci-Fi
Anna Christie,1931,20642.0,1327,3,6.9,941.0,85,Drama,,
Mata Hari,1931,23196.0,1333,3,6.6,3961.0,89,Crime,Drama,Romance
Tabu: A Story of the South Seas,1931,22458.0,1633,0,7.4,6404.0,86,Adventure,Drama,Romance
Indiscreet,1931,22000.0,1828,3,6.2,1553.0,92,Comedy,Musical,Romance
"Last Flight, The",1931,22054.0,1956,0,6.9,1393.0,76,Drama,,
Pardon Us,1931,22251.0,1974,0,6.8,2829.0,56,Comedy,Crime,Drama
Dracula,1931,21814.0,1985,2,7.4,58808.0,75,Drama,Fantasy,Horror
Monkey Business,1931,22158.0,2384,1,7.4,14301.0,77,Comedy,Family,Musical
City Lights,1931,21749.0,2705,3,8.5,196551.0,87,Comedy,Drama,Romance
"Smiling Lieutenant, The",1931,22074.0,4243,2,7.1,4125.0,93,Comedy,Musical,Romance
"Cheat, The",1931,21735.0,5741,3,6.3,836.0,74,Drama,Romance,
"Public Enemy, The",1931,22286.0,5934,3,7.6,23084.0,83,Crime,Drama,
La Chienne,1931,21739.0,6030,3,7.5,4849.0,95,Crime,Drama,
A Nous la Liberte,1931,22599.0,6031,1,7.4,4979.0,83,Comedy,Musical,
Little Caesar,1931,21079.0,6043,1,7.2,14586.0,79,Action,Crime,Drama
"Skin Game, The",1931,22395.0,7294,3,5.7,3572.0,85,Drama,,
Rich and Strange [East of Shanghai],1931,23395.0,7296,2,5.7,4934.0,83,Comedy,Drama,Romance
Dracula,1931,21815.0,8213,3,7.0,5114.0,104,Drama,Fantasy,Horror
Cimarron,1931,21746.0,8467,3,5.8,6960.0,123,Drama,Western,
Hyppolit a lakaj,1931,21985.0,8557,1,7.7,1759.0,72,Comedy,,
Skippy,1931,22397.0,9095,3,6.3,1006.0,85,Comedy,Drama,Family
"Champ, The",1931,21730.0,9110,1,7.2,3637.0,86,Drama,Family,Sport
I Am a Fugitive from a Chain Gang,1932,23042.0,1318,1,8.2,14480.0,92,Crime,Drama,Film-Noir
Grand Hotel,1932,22958.0,1328,3,7.3,20922.0,112,Drama,Romance,
"Age of Consent, The",1932,22614.0,1983,2,6.0,451.0,63,Drama,Romance,
Horse Feathers,1932,23027.0,2383,1,7.5,13420.0,68,Comedy,Family,Musical
White Zombie,1932,23694.0,2550,0,6.2,11684.0,69,Horror,,
Boudu Saved from Drowning,1932,22718.0,2767,1,7.2,6222.0,85,Comedy,,
"I Was Born, But...",1932,23634.0,3530,1,7.9,6233.0,90,Comedy,Drama,
"Most Dangerous Game, The",1932,23238.0,3658,0,7.1,14060.0,63,Action,Adventure,Horror
Freaks,1932,22913.0,3659,2,7.8,50740.0,64,Drama,Horror,
Island of Lost Souls,1932,24188.0,3844,1,7.4,10961.0,70,Film-Noir,Horror,Sci-Fi
"Old Dark House, The",1932,23293.0,4775,3,7.0,13151.0,72,Adventure,Comedy,Drama
Merrily We Go to Hell,1932,23213.0,5742,3,6.9,1943.0,83,Comedy,Drama,Romance
"Girl from Calgary, The",1932,22940.0,5783,2,5.4,94.0,64,Comedy,Musical,
Vampyr,1932,23649.0,5910,3,7.4,20587.0,75,Fantasy,Horror,
Shanghai Express,1932,23458.0,5929,3,7.3,10393.0,82,Adventure,Drama,Film-Noir
Three on a Match,1932,23590.0,6051,3,7.1,4409.0,63,Crime,Drama,Romance
Love Me Tonight,1932,23158.0,6052,2,7.5,4640.0,104,Comedy,Musical,Romance
Scarface,1932,23427.0,6063,1,7.7,30414.0,93,Action,Crime,Drama
Red-Headed Woman,1932,23385.0,6092,3,7.0,3547.0,79,Comedy,Drama,Romance
"Death Kiss, The",1932,23935.0,6176,1,6.0,1423.0,75,Comedy,Crime,Drama
Thirteen Women,1932,23582.0,6852,3,6.2,1874.0,73,Crime,Drama,Horror
"Blue Light (Das Blaue Licht), The",1932,22694.0,6990,1,6.8,1394.0,85,Drama,Fantasy,Mystery
Number 17,1932,23285.0,7301,0,5.7,5454.0,66,Crime,Mystery,Thriller
"Bitter Tea of General Yen, The",1932,23814.0,10705,3,6.9,4324.0,88,Drama,Romance,War
Footlight Parade,1933,24028.0,802,3,7.5,6108.0,104,Comedy,Musical,Romance
"Private Life of Henry VIII., The",1933,24473.0,1248,1,7.0,4880.0,97,Biography,Drama,
Queen Christina,1933,24481.0,1330,3,7.5,8643.0,99,Biography,Drama,Romance
King Kong,1933,24216.0,2229,0,7.9,91203.0,100,Adventure,Horror,
Little Women,1933,24264.0,2231,3,7.2,7946.0,115,Drama,Family,Romance
Alice in Wonderland,1933,23753.0,3188,3,6.3,2626.0,76,Adventure,Family,Fantasy
"Vampire Bat, The",1933,24727.0,3210,3,5.7,3059.0,65,Drama,Horror,Mystery
42nd Street,1933,24034.0,4335,3,7.3,13066.0,89,Comedy,Drama,Musical
Day of Reckoning,1933,23932.0,5029,3,6.4,280.0,69,Drama,,
Duck Soup,1933,23969.0,5185,1,7.7,62814.0,69,Comedy,Musical,
Tomorrow at Seven,1933,24679.0,5752,3,5.6,408.0,62,Comedy,Crime,Drama
Gold Diggers of 1933,1933,24069.0,5916,3,7.7,9170.0,97,Comedy,Drama,Musical
Female,1933,24008.0,6056,3,6.7,1922.0,60,Comedy,Drama,Romance
A Study in Scarlet,1933,24625.0,6193,3,5.6,1199.0,72,Mystery,Thriller,
"Invisible Man, The",1933,24184.0,7450,1,7.6,40100.0,71,Horror,Sci-Fi,
Baby Face,1933,23775.0,7528,3,7.5,8190.0,71,Drama,Romance,
Design for Living,1933,23940.0,8346,1,7.4,7791.0,91,Comedy,Mystery,Romance
Cavalcade,1933,23876.0,8477,3,5.8,6008.0,112,Drama,Romance,War
"Kennel Murder Case, The",1933,24210.0,10492,1,6.9,4095.0,73,Crime,Drama,Mystery
She Done Him Wrong,1933,24548.0,10702,2,6.3,7059.0,66,Comedy,Drama,History
Sons of the Desert,1933,24601.0,10714,3,7.5,9605.0,68,Comedy,Family,
It Happened One Night,1934,25316.0,621,3,8.1,112604.0,105,Comedy,Romance,
"Count of Monte Cristo, The",1934,25004.0,1246,1,7.4,3254.0,113,Action,Adventure,Drama
Cleopatra,1934,24991.0,1270,1,6.8,4632.0,100,Biography,Drama,History
"Cat&#39;s-Paw, The",1934,24961.0,1324,1,6.6,1378.0,102,Comedy,,
"Scarlet Empress, The",1934,25746.0,1325,3,7.5,7252.0,104,Drama,History,Romance
"Painted Veil, The",1934,25617.0,1329,1,6.5,1727.0,85,Drama,Romance,
Of Human Bondage,1934,25586.0,1379,1,7.0,8412.0,83,Drama,Film-Noir,Romance
L&#39;atalante,1934,24844.0,1795,0,7.7,17517.0,89,Comedy,Drama,Romance
"Lost Patrol, The",1934,25423.0,1969,0,6.8,3613.0,73,Action,Adventure,Drama
Spitfire,1934,25822.0,4443,3,5.4,905.0,87,Drama,,
Maniac,1934,25465.0,4702,3,3.7,2708.0,51,Horror,Sci-Fi,
Anne of Green Gables,1934,24831.0,5319,3,7.0,1447.0,78,Comedy,Drama,Family
Lost in the Stratosphere,1934,25424.0,5523,2,4.3,137.0,64,Action,Adventure,Comedy
Search for Beauty,1934,25755.0,5821,3,6.0,747.0,78,Comedy,Crime,Romance
Evelyn Prentice,1934,25091.0,6772,3,6.9,1871.0,79,Drama,Mystery,Romance
"Man Who Knew Too Much, The",1934,25452.0,7304,3,6.7,21238.0,75,Crime,Mystery,Thriller
Imitation of Life,1934,25301.0,7999,3,7.5,5662.0,111,Comedy,Drama,Romance
Mystery Liner,1934,25543.0,8653,0,4.6,511.0,62,Adventure,Mystery,
It&#39;s a Gift,1934,25318.0,10824,3,7.1,5766.0,68,Comedy,,
Top Hat,1935,27125.0,595,2,7.7,20752.0,101,Comedy,Musical,Romance
"39 Steps, The",1935,26029.0,1242,3,7.6,61679.0,86,Crime,Mystery,Thriller
Anna Karenina,1935,26071.0,1261,2,7.0,5810.0,95,Drama,Romance,
Mutiny on the Bounty,1935,26752.0,1361,1,7.6,24919.0,132,Adventure,Biography,Drama
Naughty Marietta,1935,26768.0,1685,3,6.5,1543.0,105,Drama,Musical,Romance
Roberta,1935,26942.0,2362,3,7.0,3664.0,106,Comedy,Musical,Romance
Magnificent Obsession,1935,26667.0,2756,3,6.8,1132.0,112,Drama,Romance,
A Night At The Opera,1935,26778.0,3881,1,7.8,34829.0,96,Comedy,Music,Musical
"Bride of Frankenstein, The",1935,26138.0,3891,3,7.8,53387.0,75,Drama,Horror,Sci-Fi
"Lady in Scarlet, The",1935,26599.0,5750,2,5.9,191.0,65,Mystery,Romance,
"Riverside Murder, The",1935,26939.0,5913,2,5.8,369.0,64,Crime,Mystery,
Mad Love,1935,26663.0,7998,2,7.2,5890.0,68,Horror,Romance,Sci-Fi
Swing Time,1936,28333.0,596,1,7.5,14616.0,103,Comedy,Musical,Romance
"Charge of the Light Brigade, The",1936,27438.0,1237,1,7.0,5494.0,115,Action,Adventure,Romance
Modern Times,1936,27977.0,1323,0,8.5,260193.0,87,Comedy,Drama,Romance
San Francisco,1936,28216.0,1359,1,7.2,6122.0,115,Drama,Music,Romance
Wife vs. Secretary,1936,28505.0,1360,2,7.0,3906.0,88,Comedy,Drama,Romance
"Petrified Forest, The",1936,28096.0,1369,3,7.5,14978.0,82,Drama,Thriller,
Mr. Deeds Goes to Town,1936,27996.0,1992,3,7.8,23268.0,115,Comedy,Drama,Romance
Born to Dance,1936,27387.0,2363,3,6.7,1942.0,106,Comedy,Musical,Romance
Revolt of the Zombies,1936,28174.0,2554,0,3.4,1886.0,65,Adventure,Horror,
Earthworm Tractors,1936,27562.0,2699,1,6.3,501.0,69,Comedy,,
Osaka Elegy,1936,28021.0,2853,3,7.2,2606.0,90,Comedy,Drama,
Theodora Goes Wild,1936,28355.0,3280,3,7.1,2958.0,94,Comedy,Mystery,Romance
"Great Ziegfeld, The",1936,27698.0,3401,3,6.6,9042.0,176,Drama,Musical,
"Mandarin Mystery, The",1936,29207.0,3548,3,5.3,460.0,66,Comedy,Crime,Film-Noir
"Only Son, The",1936,27752.0,3560,3,7.7,4051.0,87,Drama,,
Camille,1936,28683.0,3598,3,7.3,8765.0,109,Drama,Romance,
Pennies from Heaven,1936,28092.0,4010,3,6.5,796.0,81,Comedy,Drama,Music
Romeo and Juliet,1936,28203.0,4069,3,6.5,2237.0,125,Drama,Romance,
Bullets or Ballots,1936,27407.0,4143,3,7.0,3521.0,82,Crime,Drama,Film-Noir
My Man Godfrey,1936,28010.0,5852,2,7.9,26520.0,94,Comedy,Drama,Romance
Sabotage,1936,28212.0,5926,3,7.0,18808.0,76,Crime,Thriller,
Fury,1936,27652.0,6096,2,7.8,13757.0,92,Crime,Drama,Film-Noir
Murder at Glen Athol,1936,28000.0,6174,3,5.9,308.0,67,Crime,Mystery,Romance
These Three,1936,28356.0,7227,2,7.4,3044.0,93,Drama,Romance,
Secret Agent,1936,28231.0,7308,3,6.4,9061.0,86,Mystery,Thriller,
Dracula&#39;s Daughter,1936,27545.0,7992,3,6.3,8042.0,71,Drama,Fantasy,Horror
Shall We Dance,1937,29546.0,597,1,7.4,7874.0,109,Comedy,Musical,Romance
Stage Door,1937,29604.0,631,3,7.7,9046.0,92,Comedy,Drama,Romance
Stella Dallas,1937,29608.0,795,3,7.4,6299.0,106,Drama,Romance,
"Prisoner of Zenda, The",1937,29442.0,1240,1,7.6,5078.0,101,Adventure,Drama,Romance
Knight Without Armor,1937,29087.0,1244,2,6.8,1462.0,107,Adventure,Drama,History
Conquest,1937,28739.0,1332,2,6.5,1682.0,113,Drama,History,Mystery
Topper,1937,29682.0,1335,2,7.2,8339.0,97,Comedy,Fantasy,Romance
Lost Horizon,1937,29162.0,1336,2,7.6,14483.0,132,Adventure,Drama,Fantasy
Parnell,1937,29377.0,1358,2,5.3,567.0,118,Biography,Drama,Romance
Snow White and the Seven Dwarfs,1937,29583.0,1976,3,7.6,216047.0,83,Adventure,Animation,Family
A Day at the Races,1937,28772.0,2382,2,7.5,14616.0,111,Comedy,Family,Musical
Nothing Sacred,1937,29322.0,3968,0,6.8,7291.0,77,Comedy,Drama,Fantasy
Make Way for Tomorrow,1937,29192.0,4255,3,8.2,9545.0,91,Drama,Romance,
Murder at the Baskervilles (Silver Blaze),1937,29565.0,5617,1,5.7,789.0,71,Crime,Mystery,
Pepe le Moko,1937,29453.0,5740,2,7.7,8079.0,94,Crime,Drama,Romance
"Awful Truth, The",1937,28597.0,6554,3,7.7,21431.0,90,Comedy,Romance,
"Girl Was Young, The",1937,29811.0,7317,3,6.8,10901.0,83,Crime,Mystery,Romance
Marked Woman,1937,29217.0,7877,3,7.1,4850.0,96,Crime,Film-Noir,Thriller
"Bizarre, Bizarre",1937,27552.0,8473,3,7.4,1971.0,84,Comedy,,
"Life of Emile Zola, The",1937,29146.0,8478,1,7.2,9046.0,116,Biography,Drama,
Wee Willie Winkie,1937,29751.0,10352,3,6.9,1944.0,100,Adventure,Family,
Captains Courageous,1937,28691.0,10838,0,7.9,10957.0,117,Adventure,Drama,Family
Carefree,1938,29971.0,594,2,7.0,4322.0,83,Comedy,Musical,Romance
"Lady Vanishes, The",1938,30341.0,620,3,7.7,57316.0,96,Mystery,Thriller,
Holiday,1938,30241.0,994,3,7.7,18285.0,95,Comedy,Romance,
"Dawn Patrol, The",1938,30044.0,1238,0,7.5,3434.0,103,Drama,War,
Jezebel,1938,30287.0,1367,2,7.4,15092.0,104,Drama,Romance,
"Sisters, The",1938,30755.0,1378,2,6.7,2132.0,99,Drama,,
Boys Town,1938,29942.0,2467,0,7.2,6368.0,96,Biography,Drama,Family
"Mr. Wong, Detective",1938,30473.0,2590,1,6.0,1237.0,69,Adventure,Crime,Drama
"Adventures of Robin Hood, The",1938,29843.0,3103,2,7.9,54600.0,102,Action,Adventure,Romance
Bluebeard&#39;s Eighth Wife,1938,29929.0,3283,2,7.2,4557.0,85,Comedy,Romance,
Bringing Up Baby,1938,29947.0,3400,3,7.8,66239.0,102,Comedy,,
Four Daughters,1938,30149.0,3951,3,6.9,2236.0,90,Drama,Music,Romance
"Mad Miss Manton, The",1938,30396.0,4495,3,6.7,2832.0,80,Comedy,Mystery,
"Baker&#39;s Wife, The",1938,30127.0,6042,1,7.5,2407.0,133,Comedy,Drama,
Angels with Dirty Faces,1938,29870.0,7290,1,7.9,23265.0,97,Crime,Drama,Film-Noir
"Wizard of Oz, The",1939,32138.0,174,3,8.1,429727.0,102,Adventure,Family,Fantasy
Gone with the Wind,1939,31381.0,291,3,8.2,335064.0,238,Drama,Romance,War
Dodge City,1939,31235.0,383,2,7.1,5782.0,104,Western,,
"Women, The",1939,32143.0,588,3,7.7,14945.0,133,Comedy,Drama,
Stagecoach,1939,31971.0,593,3,7.8,53965.0,96,Adventure,Drama,Western
Wuthering Heights,1939,32145.0,1239,2,7.5,19819.0,104,Drama,Romance,
"Goodbye, Mr. Chips",1939,31385.0,1245,2,7.9,11621.0,114,Drama,Romance,
Ninotchka,1939,31725.0,1259,3,7.8,22970.0,110,Comedy,Romance,
Juarez,1939,31516.0,1368,2,6.9,2558.0,125,Biography,Drama,History
Dark Victory,1939,31210.0,1370,3,7.4,12427.0,104,Drama,Romance,
Essex and Elizabeth,1939,31826.0,1371,2,7.0,6179.0,106,Biography,Drama,History
Young Mr. Lincoln,1939,32155.0,1382,2,7.5,9192.0,100,Biography,Drama,History
Jesse James,1939,31507.0,1383,2,7.0,4967.0,106,Western,,
Drums Along the Mohawk,1939,31252.0,1384,2,7.0,6812.0,104,Drama,Romance,War
"Story of Alexander Graham Bell, The",1939,31981.0,1385,2,7.0,1198.0,98,Biography,Drama,History
"Flying Deuces, The",1939,31322.0,1973,0,6.7,5755.0,69,Comedy,Family,War
"Hunchback of Notre Dame, The",1939,31455.0,2086,0,7.8,12316.0,116,Drama,Romance,
At the Circus,1939,31060.0,2372,2,6.8,6482.0,87,Comedy,Musical,
"Gorilla, The",1939,31387.0,2555,3,4.8,1680.0,66,Comedy,Horror,
Mr. Wong in Chinatown,1939,31680.0,2622,1,5.8,952.0,71,Adventure,Crime,Drama
Of Mice and Men,1939,31742.0,2851,1,7.8,6883.0,106,Adventure,Drama,
"Rules of the Game, The",1939,31885.0,3089,3,7.9,31414.0,110,Comedy,Drama,
Babes in Arms,1939,31066.0,3723,3,6.3,2854.0,94,Comedy,Musical,
Destry Rides Again,1939,31225.0,5634,3,7.6,12586.0,95,Comedy,Western,
Nancy Drew... Reporter,1939,31709.0,5763,3,6.5,1466.0,68,Comedy,Crime,Family
"Adventures of Sherlock Holmes, The",1939,31022.0,5863,3,7.3,7487.0,85,Crime,Mystery,Thriller
Mr. Smith Goes to Washington,1939,31679.0,5946,2,8.1,121631.0,129,Comedy,Drama,
Jamaica Inn,1939,31505.0,7322,3,6.3,11220.0,98,Adventure,Crime,
Le jour se l&egrave;ve,1939,31514.0,8098,2,7.7,8290.0,93,Crime,Drama,Romance
Gulliver&#39;s Travels,1939,31397.0,8511,0,6.6,4863.0,76,Adventure,Animation,Comedy
Love Affair,1939,31593.0,9038,3,7.3,6453.0,88,Comedy,Drama,Romance
Gunga Din,1939,31398.0,10848,0,7.2,12827.0,117,Adventure,Comedy,War
Only Angels Have Wings,1939,31762.0,10880,2,7.6,15711.0,121,Adventure,Drama,Romance
Pinocchio,1940,32910.0,478,1,7.5,160291.0,88,Adventure,Animation,Comedy
Rebecca,1940,32976.0,618,3,8.1,147135.0,130,Drama,Mystery,Romance
